continent,location,date,population,rolling_people_vaccinated,rolling_people_vaccinated_percentage
North America,United States,2021-04-06,331002647,168592075,50.93
Asia,China,2021-04-11,1439323774,167343000,11.63
North America,United States,2021-04-05,331002647,167187795,50.51
North America,United States,2021-04-04,331002647,165053746,49.86
Asia,China,2021-04-10,1439323774,164471000,11.43
North America,United States,2021-04-03,331002647,161688422,48.85
Asia,China,2021-04-09,1439323774,161121000,11.19
North America,United States,2021-04-02,331002647,157606463,47.61
Asia,China,2021-04-08,1439323774,155150000,10.78
North America,United States,2021-04-01,331002647,153631404,46.41
Asia,India,2021-04-30,1380004385,151998107,11.01
North America,United States,2021-03-31,331002647,150273292,45.40
Asia,India,2021-04-29,1380004385,149268772,10.82
Asia,China,2021-04-07,1439323774,149071000,10.36
North America,United States,2021-03-30,331002647,147602345,44.59
Asia,India,2021-04-28,1380004385,147053392,10.66
Asia,China,2021-04-06,1439323774,145920000,10.14
North America,United States,2021-03-29,331002647,145812835,44.05
Asia,India,2021-04-27,1380004385,144879233,10.50
North America,United States,2021-03-28,331002647,143462691,43.34
Asia,China,2021-04-05,1439323774,142802000,9.92
Asia,India,2021-04-26,1380004385,142524947,10.33
North America,United States,2021-03-27,331002647,140180735,42.35
Asia,China,2021-04-04,1439323774,139970000,9.72
Asia,India,2021-04-25,1380004385,139185173,10.09
North America,United States,2021-03-26,331002647,136684688,41.29
Asia,China,2021-04-03,1439323774,136677000,9.50
Asia,China,2021-04-02,1439323774,133801000,9.30
North America,United States,2021-03-25,331002647,133305295,40.27
Asia,India,2021-04-22,1380004385,132754608,9.62
North America,United States,2021-03-24,331002647,130473853,39.42
Asia,India,2021-04-21,1380004385,129646105,9.39
North America,United States,2021-03-23,331002647,128217029,38.74
Asia,India,2021-04-19,1380004385,127129113,9.21
Asia,China,2021-04-01,1439323774,126616000,8.80
North America,United States,2021-03-22,331002647,126509736,38.22
North America,United States,2021-03-21,331002647,124481412,37.61
Asia,India,2021-04-18,1380004385,123852566,8.97
Asia,India,2021-04-17,1380004385,122622590,8.89
North America,United States,2021-03-20,331002647,121441497,36.69
Asia,India,2021-04-16,1380004385,119937641,8.69
Asia,China,2021-03-31,1439323774,119821000,8.32
North America,United States,2021-03-19,331002647,118313818,35.74
Asia,India,2021-04-15,1380004385,117223509,8.49
North America,United States,2021-03-18,331002647,115730008,34.96
Asia,China,2021-03-30,1439323774,114690000,7.97
Asia,India,2021-04-14,1380004385,114493238,8.30
North America,United States,2021-03-17,331002647,113037627,34.15
Asia,India,2021-04-13,1380004385,111179578,8.06
Asia,China,2021-03-29,1439323774,110962000,7.71
North America,United States,2021-03-16,331002647,110737856,33.46
North America,United States,2021-03-15,331002647,109081860,32.95
Asia,India,2021-04-12,1380004385,108533085,7.86
North America,United States,2021-03-14,331002647,107060274,32.34
Asia,China,2021-03-28,1439323774,106613000,7.41
North America,United States,2021-03-13,331002647,105703501,31.93
Asia,India,2021-04-11,1380004385,104528565,7.57
Asia,China,2021-03-27,1439323774,102417000,7.12
Asia,India,2021-04-10,1380004385,101595147,7.36
North America,United States,2021-03-12,331002647,101128005,30.55
North America,United States,2021-03-11,331002647,98203893,29.67
Asia,India,2021-04-09,1380004385,98075160,7.11
Asia,China,2021-03-26,1439323774,97470000,6.77
North America,United States,2021-03-10,331002647,95721290,28.92
Asia,India,2021-04-08,1380004385,94334262,6.84
North America,United States,2021-03-09,331002647,93692598,28.31
North America,United States,2021-03-08,331002647,92089852,27.82
Asia,China,2021-03-25,1439323774,91346000,6.35
North America,United States,2021-03-07,331002647,90351750,27.30
Asia,India,2021-04-07,1380004385,90198673,6.54
North America,United States,2021-03-06,331002647,87912323,26.56
Asia,India,2021-04-06,1380004385,87077474,6.31
Asia,China,2021-03-24,1439323774,85859700,5.97
North America,United States,2021-03-05,331002647,85008094,25.68
Asia,India,2021-04-05,1380004385,83110926,6.02
Asia,China,2021-03-23,1439323774,82846000,5.76
North America,United States,2021-03-04,331002647,82572848,24.95
North America,United States,2021-03-03,331002647,80540474,24.33
Asia,China,2021-03-22,1439323774,80460000,5.59
Asia,India,2021-04-04,1380004385,79105163,5.73
North America,United States,2021-03-02,331002647,78631601,23.76
North America,United States,2021-03-01,331002647,76899987,23.23
Asia,India,2021-04-03,1380004385,75979651,5.51
North America,United States,2021-02-28,331002647,75236003,22.73
Asia,China,2021-03-20,1439323774,74956000,5.21
Asia,India,2021-04-02,1380004385,73054295,5.29
North America,United States,2021-02-27,331002647,72806180,22.00
North America,United States,2021-02-26,331002647,70454064,21.29
Asia,India,2021-04-01,1380004385,68789138,4.98
North America,United States,2021-02-25,331002647,68274117,20.63
North America,United States,2021-02-24,331002647,66464947,20.08
Asia,India,2021-03-31,1380004385,65117896,4.72
North America,United States,2021-02-23,331002647,65032083,19.65
Asia,China,2021-03-14,1439323774,64980000,4.51
North America,United States,2021-02-22,331002647,64177474,19.39
North America,United States,2021-02-21,331002647,63090634,19.06
Asia,India,2021-03-30,1380004385,63054353,4.57
North America,United States,2021-02-20,331002647,61289500,18.52
Asia,India,2021-03-29,1380004385,61113354,4.43
Asia,India,2021-03-28,1380004385,60530435,4.39
Asia,India,2021-03-27,1380004385,60269782,4.37
North America,United States,2021-02-19,331002647,59585043,18.00
Asia,India,2021-03-26,1380004385,58109773,4.21
North America,United States,2021-02-18,331002647,57737767,17.44
North America,United States,2021-02-17,331002647,56281827,17.00
Asia,India,2021-03-25,1380004385,55504440,4.02
North America,United States,2021-02-16,331002647,55220364,16.68
